btc,Date,btcopen,eth,ethopen,ada,adaopen,bnb,bnbopen,doge,dogeopen,aave,aaveopen,ltc,ltcopen,link,linkopen,ethbtc,linkbtc
BTC,2020-10-12 23:59:59,11392.63621516,ETH,374.79874473,ADA,0.10654671,BNB,28.54990736,DOGE,0.00267412,AAVE,49.66157329,LTC,50.615706599999996,LINK,10.83853809,btc/eth,link/btc
BTC,2020-10-13 23:59:59,11548.71975926,ETH,387.14295868,ADA,0.10996593,BNB,30.67000624,DOGE,0.00266664,AAVE,52.23839242,LTC,50.68304102,LINK,11.43175936,btc/eth,link/btc
BTC,2020-10-14 23:59:59,11429.04780192,ETH,381.97145394,ADA,0.10929842,BNB,30.73881086,DOGE,0.00263355,AAVE,51.37289869,LTC,50.00718207,LINK,10.99267702,btc/eth,link/btc
BTC,2020-10-15 23:59:59,11426.60259823,ETH,379.19222482,ADA,0.10721692,BNB,30.88991989,DOGE,0.00264995,AAVE,51.38760962,LTC,49.82561271,LINK,10.92416116,btc/eth,link/btc
BTC,2020-10-16 23:59:59,11502.82812628,ETH,377.86850734,ADA,0.10674843,BNB,31.31403886,DOGE,0.00259479,AAVE,42.89060653,LTC,49.53492964,LINK,10.74807995,btc/eth,link/btc
BTC,2020-10-17 23:59:59,11322.1226857,ETH,366.01571359,ADA,0.10421811,BNB,30.04375739,DOGE,0.00260323,AAVE,39.48619161,LTC,47.74718763,LINK,10.60629116,btc/eth,link/btc
BTC,2020-10-18 23:59:59,11355.98226642,ETH,368.727532,ADA,0.10604408,BNB,30.24098787,DOGE,0.00258097,AAVE,41.38959771,LTC,47.05941925,LINK,10.63585638,btc/eth,link/btc
BTC,2020-10-19 23:59:59,11495.03793859,ETH,378.46963677,ADA,0.10741554,BNB,30.65621369,DOGE,0.00259484,AAVE,40.83675675,LTC,47.64145838,LINK,10.89069302,btc/eth,link/btc
BTC,2020-10-20 23:59:59,11745.97493298,ETH,379.71970042,ADA,0.10861387,BNB,29.93031386,DOGE,0.00259049,AAVE,36.04378522,LTC,48.10254703,LINK,10.88016821,btc/eth,link/btc
BTC,2020-10-21 23:59:59,11913.07748936,ETH,369.05943203,ADA,0.10251852,BNB,28.81384974,DOGE,0.00260031,AAVE,32.25348971,LTC,47.06284438,LINK,9.87766541,btc/eth,link/btc
BTC,2020-10-22 23:59:59,12801.63536307,ETH,391.48861746,ADA,0.10605643,BNB,29.76553951,DOGE,0.00262654,AAVE,35.09748742,LTC,53.01589059,LINK,10.79231038,btc/eth,link/btc
BTC,2020-10-23 23:59:59,12971.54847683,ETH,414.05132696,ADA,0.11069846,BNB,30.65525816,DOGE,0.00264869,AAVE,37.73059438,LTC,54.29941045,LINK,11.95689602,btc/eth,link/btc
BTC,2020-10-24 23:59:59,12931.57391476,ETH,409.76723415,ADA,0.10808287,BNB,30.633960499999997,DOGE,0.0026468000000000004,AAVE,41.68663733,LTC,55.23872728,LINK,12.16381243,btc/eth,link/btc
BTC,2020-10-25 23:59:59,13108.06314181,ETH,412.45763097,ADA,0.10807512,BNB,30.58882124,DOGE,0.00264547,AAVE,39.45502214,LTC,59.09558573,LINK,12.73154842,btc/eth,link/btc
BTC,2020-10-26 23:59:59,13031.20124688,ETH,406.21798565,ADA,0.10635066,BNB,30.10754217,DOGE,0.0026531,AAVE,37.90476254,LTC,58.67482091,LINK,12.16006465,btc/eth,link/btc
BTC,2020-10-27 23:59:59,13075.24249433,ETH,393.88819811,ADA,0.10309701,BNB,31.15468524,DOGE,0.0026787,AAVE,36.0339136,LTC,56.745752,LINK,11.74789367,btc/eth,link/btc
BTC,2020-10-28 23:59:59,13654.21446094,ETH,403.99708885,ADA,0.10282685,BNB,31.63878502,DOGE,0.0026766,AAVE,34.87153639,LTC,57.81607809,LINK,11.97384543,btc/eth,link/btc
BTC,2020-10-29 23:59:59,13271.29897868,ETH,388.65106757,ADA,0.09897679,BNB,30.36355419,DOGE,0.00259499,AAVE,32.39408189,LTC,55.74255874,LINK,11.46175849,btc/eth,link/btc
BTC,2020-10-30 23:59:59,13437.87353717,ETH,386.73024915,ADA,0.09537573,BNB,29.84268283,DOGE,0.00258067,AAVE,29.09834147,LTC,54.76595933,LINK,11.26515767,btc/eth,link/btc
BTC,2020-10-31 23:59:59,13546.5326493,ETH,382.82003692,ADA,0.09336885,BNB,28.50841225,DOGE,0.00259836,AAVE,31.21782294,LTC,53.83503896,LINK,11.09855847,btc/eth,link/btc
BTC,2020-11-01 23:59:59,13780.99480514,ETH,386.59033789999995,ADA,0.09305597,BNB,28.43121468,DOGE,0.00257594,AAVE,29.70751776,LTC,55.59025858,LINK,11.22083857,btc/eth,link/btc
BTC,2020-11-02 23:59:59,13737.03221087,ETH,396.35599261,ADA,0.0981968,BNB,28.46147001,DOGE,0.00258171,AAVE,30.65728227,LTC,55.58732282,LINK,11.53658431,btc/eth,link/btc
BTC,2020-11-03 23:59:59,13550.450882,ETH,383.15604785,ADA,0.09214304,BNB,27.883926799999998,DOGE,0.00251712,AAVE,29.73152554,LTC,53.81741114,LINK,10.79756454,btc/eth,link/btc
BTC,2020-11-04 23:59:59,13950.487905899998,ETH,387.60321316,ADA,0.09343451,BNB,26.85738812,DOGE,0.00252767,AAVE,28.04297069,LTC,53.81946799,LINK,10.3869679,btc/eth,link/btc
BTC,2020-11-05 23:59:59,14133.73388336,ETH,402.14293982,ADA,0.09536914,BNB,26.93157483,DOGE,0.00253331,AAVE,27.7150798,LTC,54.50187233,LINK,10.472635,btc/eth,link/btc
BTC,2020-11-06 23:59:59,15579.72923853,ETH,414.06671193,ADA,0.09699406,BNB,27.67580829,DOGE,0.00261651,AAVE,30.95511845,LTC,58.676192900000004,LINK,10.99053896,btc/eth,link/btc
BTC,2020-11-07 23:59:59,15565.88058298,ETH,454.72255187,ADA,0.10910493,BNB,29.01799907,DOGE,0.00275989,AAVE,38.45744081,LTC,63.13111282,LINK,12.11807202,btc/eth,link/btc
BTC,2020-11-08 23:59:59,14833.75408424,ETH,435.71880588,ADA,0.1013791,BNB,27.73809547,DOGE,0.00267068,AAVE,44.60489961,LTC,59.14364603,LINK,11.75722436,btc/eth,link/btc
